Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_60,VGND,li1,37.9500,38.0800,0.000000
FILLER_9_57,VGND,li1,37.0300,38.0800,0.000000
FILLER_9_53,VGND,li1,35.1900,38.0800,0.000000
FILLER_9_50,VGND,li1,33.8100,38.0800,0.000000
FILLER_9_47,VGND,li1,32.4300,38.0800,0.000000
FILLER_9_44,VGND,li1,31.0500,38.0800,0.000000
FILLER_9_41,VGND,li1,29.6700,38.0800,0.000000
FILLER_9_38,VGND,li1,28.2900,38.0800,0.000000
FILLER_9_35,VGND,li1,26.9100,38.0800,0.000000
FILLER_9_32,VGND,li1,25.5300,38.0800,0.000000
FILLER_9_29,VGND,li1,24.1500,38.0800,0.000000
FILLER_9_27,VGND,li1,22.7700,38.0800,0.000000
FILLER_9_24,VGND,li1,21.8500,38.0800,0.000000
FILLER_9_21,VGND,li1,20.4700,38.0800,0.000000
FILLER_9_18,VGND,li1,19.0900,38.0800,0.000000
FILLER_9_15,VGND,li1,17.7100,38.0800,0.000000
FILLER_9_12,VGND,li1,16.3300,38.0800,0.000000
FILLER_9_9,VGND,li1,14.9500,38.0800,0.000000
FILLER_9_6,VGND,li1,13.5700,38.0800,0.000000
FILLER_9_3,VGND,li1,12.1900,38.0800,0.000000
FILLER_8_59,VGND,li1,37.7200,32.6400,0.000000
FILLER_8_56,VGND,li1,36.5700,32.6400,0.000000
FILLER_8_53,VGND,li1,35.1900,32.6400,0.000000
FILLER_8_50,VGND,li1,33.8100,32.6400,0.000000
FILLER_8_47,VGND,li1,32.4300,32.6400,0.000000
FILLER_8_44,VGND,li1,31.0500,32.6400,0.000000
FILLER_8_41,VGND,li1,29.6700,32.6400,0.000000
FILLER_8_38,VGND,li1,28.2900,32.6400,0.000000
FILLER_8_35,VGND,li1,26.9100,32.6400,0.000000
FILLER_8_32,VGND,li1,25.5300,32.6400,0.000000
FILLER_8_29,VGND,li1,24.1500,32.6400,0.000000
FILLER_8_27,VGND,li1,22.7700,32.6400,0.000000
FILLER_8_24,VGND,li1,21.8500,32.6400,0.000000
FILLER_8_21,VGND,li1,20.4700,32.6400,0.000000
FILLER_8_18,VGND,li1,19.0900,32.6400,0.000000
FILLER_8_15,VGND,li1,17.7100,32.6400,0.000000
FILLER_8_12,VGND,li1,16.3300,32.6400,0.000000
FILLER_8_9,VGND,li1,14.9500,32.6400,0.000000
FILLER_8_6,VGND,li1,13.5700,32.6400,0.000000
FILLER_8_3,VGND,li1,12.1900,32.6400,0.000000
FILLER_7_60,VGND,li1,37.9500,32.6400,0.000000
FILLER_7_57,VGND,li1,37.0300,32.6400,0.000000
FILLER_7_54,VGND,li1,35.4200,32.6400,0.000000
FILLER_7_51,VGND,li1,34.2700,32.6400,0.000000
FILLER_7_48,VGND,li1,32.8900,32.6400,0.000000
FILLER_7_45,VGND,li1,31.5100,32.6400,0.000000
FILLER_7_42,VGND,li1,30.1300,32.6400,0.000000
FILLER_7_39,VGND,li1,28.7500,32.6400,0.000000
FILLER_7_36,VGND,li1,27.3700,32.6400,0.000000
FILLER_7_33,VGND,li1,25.9900,32.6400,0.000000
FILLER_7_30,VGND,li1,24.6100,32.6400,0.000000
FILLER_7_27,VGND,li1,23.2300,32.6400,0.000000
FILLER_7_24,VGND,li1,21.8500,32.6400,0.000000
FILLER_7_21,VGND,li1,20.4700,32.6400,0.000000
FILLER_7_18,VGND,li1,19.0900,32.6400,0.000000
FILLER_7_15,VGND,li1,17.7100,32.6400,0.000000
FILLER_7_12,VGND,li1,16.3300,32.6400,0.000000
FILLER_7_9,VGND,li1,14.9500,32.6400,0.000000
FILLER_7_6,VGND,li1,13.5700,32.6400,0.000000
FILLER_7_3,VGND,li1,12.1900,32.6400,0.000000
FILLER_6_59,VGND,li1,37.7200,27.2000,0.000008
FILLER_6_56,VGND,li1,36.5700,27.2000,0.000008
FILLER_6_53,VGND,li1,35.1900,27.2000,0.000008
FILLER_6_50,VGND,li1,33.8100,27.2000,0.000008
FILLER_6_47,VGND,li1,32.4300,27.2000,0.000008
FILLER_6_44,VGND,li1,31.0500,27.2000,0.000008
FILLER_6_41,VGND,li1,29.6700,27.2000,0.000008
FILLER_6_38,VGND,li1,28.2900,27.2000,0.000009
FILLER_6_35,VGND,li1,26.9100,27.2000,0.000011
FILLER_6_32,VGND,li1,25.5300,27.2000,0.000011
FILLER_6_29,VGND,li1,24.1500,27.2000,0.000012
FILLER_6_26,VGND,li1,22.5400,27.2000,0.000014
FILLER_6_23,VGND,li1,21.3900,27.2000,0.000014
FILLER_6_20,VGND,li1,20.0100,27.2000,0.000014
FILLER_6_17,VGND,li1,18.6300,27.2000,0.000014
FILLER_6_14,VGND,li1,17.2500,27.2000,0.000014
FILLER_6_11,VGND,li1,15.8700,27.2000,0.000014
FILLER_5_60,VGND,li1,37.9500,27.2000,0.000008
FILLER_5_57,VGND,li1,37.0300,27.2000,0.000008
FILLER_5_46,VGND,li1,31.7400,27.2000,0.000008
FILLER_5_43,VGND,li1,30.5900,27.2000,0.000008
FILLER_5_40,VGND,li1,29.2100,27.2000,0.000009
FILLER_5_37,VGND,li1,27.8300,27.2000,0.000009
FILLER_5_34,VGND,li1,26.4500,27.2000,0.000011
FILLER_5_12,VGND,li1,15.8700,27.2000,0.000014
FILLER_5_9,VGND,li1,14.9500,27.2000,0.000014
FILLER_5_6,VGND,li1,13.5700,27.2000,0.000014
FILLER_5_3,VGND,li1,12.1900,27.2000,0.000014
FILLER_4_59,VGND,li1,37.7200,21.7600,0.000000
FILLER_4_56,VGND,li1,36.5700,21.7600,0.000000
FILLER_4_53,VGND,li1,35.1900,21.7600,0.000000
FILLER_4_50,VGND,li1,33.8100,21.7600,0.000000
FILLER_4_47,VGND,li1,32.4300,21.7600,0.000000
FILLER_4_44,VGND,li1,31.0500,21.7600,0.000000
FILLER_4_41,VGND,li1,29.6700,21.7600,0.000000
FILLER_4_38,VGND,li1,28.2900,21.7600,0.000000
FILLER_4_35,VGND,li1,26.9100,21.7600,0.000000
FILLER_4_32,VGND,li1,25.5300,21.7600,0.000000
FILLER_4_29,VGND,li1,24.1500,21.7600,0.000000
FILLER_4_27,VGND,li1,22.7700,21.7600,0.000000
FILLER_4_24,VGND,li1,21.8500,21.7600,0.000000
