Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_60,VPWR,li1,37.9500,35.3600,1.800000
FILLER_9_57,VPWR,li1,37.0300,35.3600,1.800000
FILLER_9_53,VPWR,li1,35.1900,35.3600,1.800000
FILLER_9_50,VPWR,li1,33.8100,35.3600,1.800000
FILLER_9_47,VPWR,li1,32.4300,35.3600,1.800000
FILLER_9_44,VPWR,li1,31.0500,35.3600,1.800000
FILLER_9_41,VPWR,li1,29.6700,35.3600,1.800000
FILLER_9_38,VPWR,li1,28.2900,35.3600,1.800000
FILLER_9_35,VPWR,li1,26.9100,35.3600,1.800000
FILLER_9_32,VPWR,li1,25.5300,35.3600,1.800000
FILLER_9_29,VPWR,li1,24.1500,35.3600,1.800000
FILLER_9_27,VPWR,li1,22.7700,35.3600,1.800000
FILLER_9_24,VPWR,li1,21.8500,35.3600,1.800000
FILLER_9_21,VPWR,li1,20.4700,35.3600,1.800000
FILLER_9_18,VPWR,li1,19.0900,35.3600,1.800000
FILLER_9_15,VPWR,li1,17.7100,35.3600,1.800000
FILLER_9_12,VPWR,li1,16.3300,35.3600,1.800000
FILLER_9_9,VPWR,li1,14.9500,35.3600,1.800000
FILLER_9_6,VPWR,li1,13.5700,35.3600,1.800000
FILLER_9_3,VPWR,li1,12.1900,35.3600,1.800000
FILLER_8_59,VPWR,li1,37.7200,35.3600,1.800000
FILLER_8_56,VPWR,li1,36.5700,35.3600,1.800000
FILLER_8_53,VPWR,li1,35.1900,35.3600,1.800000
FILLER_8_50,VPWR,li1,33.8100,35.3600,1.800000
FILLER_8_47,VPWR,li1,32.4300,35.3600,1.800000
FILLER_8_44,VPWR,li1,31.0500,35.3600,1.800000
FILLER_8_41,VPWR,li1,29.6700,35.3600,1.800000
FILLER_8_38,VPWR,li1,28.2900,35.3600,1.800000
FILLER_8_35,VPWR,li1,26.9100,35.3600,1.800000
FILLER_8_32,VPWR,li1,25.5300,35.3600,1.800000
FILLER_8_29,VPWR,li1,24.1500,35.3600,1.800000
FILLER_8_27,VPWR,li1,22.7700,35.3600,1.800000
FILLER_8_24,VPWR,li1,21.8500,35.3600,1.800000
FILLER_8_21,VPWR,li1,20.4700,35.3600,1.800000
FILLER_8_18,VPWR,li1,19.0900,35.3600,1.800000
FILLER_8_15,VPWR,li1,17.7100,35.3600,1.800000
FILLER_8_12,VPWR,li1,16.3300,35.3600,1.800000
FILLER_8_9,VPWR,li1,14.9500,35.3600,1.800000
FILLER_8_6,VPWR,li1,13.5700,35.3600,1.800000
FILLER_8_3,VPWR,li1,12.1900,35.3600,1.800000
FILLER_7_60,VPWR,li1,37.9500,29.9200,1.800000
FILLER_7_57,VPWR,li1,37.0300,29.9200,1.800000
FILLER_7_54,VPWR,li1,35.4200,29.9200,1.800000
FILLER_7_51,VPWR,li1,34.2700,29.9200,1.800000
FILLER_7_48,VPWR,li1,32.8900,29.9200,1.800000
FILLER_7_45,VPWR,li1,31.5100,29.9200,1.800000
FILLER_7_42,VPWR,li1,30.1300,29.9200,1.800000
FILLER_7_39,VPWR,li1,28.7500,29.9200,1.800000
FILLER_7_36,VPWR,li1,27.3700,29.9200,1.800000
FILLER_7_33,VPWR,li1,25.9900,29.9200,1.800000
FILLER_7_30,VPWR,li1,24.6100,29.9200,1.799999
FILLER_7_27,VPWR,li1,23.2300,29.9200,1.799999
FILLER_7_24,VPWR,li1,21.8500,29.9200,1.799999
FILLER_7_21,VPWR,li1,20.4700,29.9200,1.799999
FILLER_7_18,VPWR,li1,19.0900,29.9200,1.799999
FILLER_7_15,VPWR,li1,17.7100,29.9200,1.799999
FILLER_7_12,VPWR,li1,16.3300,29.9200,1.799999
FILLER_7_9,VPWR,li1,14.9500,29.9200,1.799999
FILLER_7_6,VPWR,li1,13.5700,29.9200,1.799999
FILLER_7_3,VPWR,li1,12.1900,29.9200,1.799999
FILLER_6_59,VPWR,li1,37.7200,29.9200,1.800000
FILLER_6_56,VPWR,li1,36.5700,29.9200,1.800000
FILLER_6_53,VPWR,li1,35.1900,29.9200,1.800000
FILLER_6_50,VPWR,li1,33.8100,29.9200,1.800000
FILLER_6_47,VPWR,li1,32.4300,29.9200,1.800000
FILLER_6_44,VPWR,li1,31.0500,29.9200,1.800000
FILLER_6_41,VPWR,li1,29.6700,29.9200,1.800000
FILLER_6_38,VPWR,li1,28.2900,29.9200,1.800000
FILLER_6_35,VPWR,li1,26.9100,29.9200,1.800000
FILLER_6_32,VPWR,li1,25.5300,29.9200,1.799999
FILLER_6_29,VPWR,li1,24.1500,29.9200,1.799999
FILLER_6_26,VPWR,li1,22.5400,29.9200,1.799999
FILLER_6_23,VPWR,li1,21.3900,29.9200,1.799999
FILLER_6_20,VPWR,li1,20.0100,29.9200,1.799999
FILLER_6_17,VPWR,li1,18.6300,29.9200,1.799999
FILLER_6_14,VPWR,li1,17.2500,29.9200,1.799999
FILLER_6_11,VPWR,li1,15.8700,29.9200,1.799999
FILLER_5_60,VPWR,li1,37.9500,24.4800,1.799991
FILLER_5_57,VPWR,li1,37.0300,24.4800,1.799991
FILLER_5_46,VPWR,li1,31.7400,24.4800,1.799992
FILLER_5_43,VPWR,li1,30.5900,24.4800,1.799992
FILLER_5_40,VPWR,li1,29.2100,24.4800,1.799992
FILLER_5_37,VPWR,li1,27.8300,24.4800,1.799992
FILLER_5_34,VPWR,li1,26.4500,24.4800,1.799992
FILLER_5_12,VPWR,li1,15.8700,24.4800,1.799990
FILLER_5_9,VPWR,li1,14.9500,24.4800,1.799990
FILLER_5_6,VPWR,li1,13.5700,24.4800,1.799990
FILLER_5_3,VPWR,li1,12.1900,24.4800,1.799990
FILLER_4_59,VPWR,li1,37.7200,24.4800,1.799991
FILLER_4_56,VPWR,li1,36.5700,24.4800,1.799991
FILLER_4_53,VPWR,li1,35.1900,24.4800,1.799991
FILLER_4_50,VPWR,li1,33.8100,24.4800,1.799991
FILLER_4_47,VPWR,li1,32.4300,24.4800,1.799992
FILLER_4_44,VPWR,li1,31.0500,24.4800,1.799992
FILLER_4_41,VPWR,li1,29.6700,24.4800,1.799992
FILLER_4_38,VPWR,li1,28.2900,24.4800,1.799992
FILLER_4_35,VPWR,li1,26.9100,24.4800,1.799992
FILLER_4_32,VPWR,li1,25.5300,24.4800,1.799992
FILLER_4_29,VPWR,li1,24.1500,24.4800,1.799991
FILLER_4_27,VPWR,li1,22.7700,24.4800,1.799991
FILLER_4_24,VPWR,li1,21.8500,24.4800,1.799990
FILLER_4_21,VPWR,li1,20.4700,24.4800,1.799990
FILLER_4_18,VPWR,li1,19.0900,24.4800,1.799990
FILLER_4_15,VPWR,li1,17.7100,24.4800,1.799990
FILLER_4_12,VPWR,li1,16.3300,24.4800,1.799990
FILLER_4_9,VPWR,li1,14.9500,24.4800,1.799990
FILLER_4_6,VPWR,li1,13.5700,24.4800,1.799990
FILLER_4_3,VPWR,li1,12.1900,24.4800,1.799990
FILLER_3_60,VPWR,li1,37.9500,19.0400,1.800000
FILLER_3_57,VPWR,li1,37.0300,19.0400,1.800000
FILLER_3_53,VPWR,li1,35.1900,19.0400,1.800000
FILLER_3_50,VPWR,li1,33.8100,19.0400,1.800000
FILLER_3_47,VPWR,li1,32.4300,19.0400,1.800000
FILLER_3_44,VPWR,li1,31.0500,19.0400,1.800000
FILLER_3_41,VPWR,li1,29.6700,19.0400,1.800000
FILLER_3_38,VPWR,li1,28.2900,19.0400,1.800000
FILLER_3_35,VPWR,li1,26.9100,19.0400,1.800000
FILLER_3_32,VPWR,li1,25.5300,19.0400,1.800000
FILLER_3_27,VPWR,li1,23.0000,19.0400,1.800000
FILLER_3_24,VPWR,li1,21.8500,19.0400,1.800000
FILLER_3_21,VPWR,li1,20.4700,19.0400,1.800000
FILLER_3_18,VPWR,li1,19.0900,19.0400,1.800000
FILLER_3_15,VPWR,li1,17.7100,19.0400,1.800000
FILLER_3_12,VPWR,li1,16.3300,19.0400,1.800000
FILLER_3_9,VPWR,li1,14.9500,19.0400,1.800000
FILLER_3_6,VPWR,li1,13.5700,19.0400,1.800000
FILLER_3_3,VPWR,li1,12.1900,19.0400,1.800000
FILLER_2_59,VPWR,li1,37.7200,19.0400,1.800000
FILLER_2_56,VPWR,li1,36.5700,19.0400,1.800000
FILLER_2_53,VPWR,li1,35.1900,19.0400,1.800000
FILLER_2_50,VPWR,li1,33.8100,19.0400,1.800000
FILLER_2_47,VPWR,li1,32.4300,19.0400,1.800000
FILLER_2_44,VPWR,li1,31.0500,19.0400,1.800000
FILLER_2_41,VPWR,li1,29.6700,19.0400,1.800000
FILLER_2_38,VPWR,li1,28.2900,19.0400,1.800000
FILLER_2_35,VPWR,li1,26.9100,19.0400,1.800000
FILLER_2_32,VPWR,li1,25.5300,19.0400,1.800000
FILLER_2_29,VPWR,li1,24.1500,19.0400,1.800000
FILLER_2_27,VPWR,li1,22.7700,19.0400,1.800000
FILLER_2_24,VPWR,li1,21.8500,19.0400,1.800000
FILLER_2_21,VPWR,li1,20.4700,19.0400,1.800000
FILLER_2_18,VPWR,li1,19.0900,19.0400,1.800000
FILLER_2_15,VPWR,li1,17.7100,19.0400,1.800000
FILLER_2_12,VPWR,li1,16.3300,19.0400,1.800000
FILLER_2_9,VPWR,li1,14.9500,19.0400,1.800000
FILLER_2_6,VPWR,li1,13.5700,19.0400,1.800000
FILLER_2_3,VPWR,li1,12.1900,19.0400,1.800000
FILLER_1_60,VPWR,li1,37.9500,13.6000,1.799999
FILLER_1_57,VPWR,li1,37.0300,13.6000,1.799999
FILLER_1_54,VPWR,li1,35.4200,13.6000,1.799999
FILLER_1_51,VPWR,li1,34.2700,13.6000,1.799999
FILLER_1_48,VPWR,li1,32.8900,13.6000,1.799999
FILLER_1_45,VPWR,li1,31.5100,13.6000,1.799999
FILLER_1_42,VPWR,li1,30.1300,13.6000,1.799999
FILLER_1_39,VPWR,li1,28.7500,13.6000,1.799999
FILLER_1_36,VPWR,li1,27.3700,13.6000,1.799999
FILLER_1_33,VPWR,li1,25.9900,13.6000,1.799999
FILLER_1_30,VPWR,li1,24.6100,13.6000,1.799999
FILLER_1_27,VPWR,li1,23.2300,13.6000,1.799999
FILLER_1_24,VPWR,li1,21.8500,13.6000,1.799999
FILLER_1_21,VPWR,li1,20.4700,13.6000,1.799999
FILLER_1_18,VPWR,li1,19.0900,13.6000,1.799999
FILLER_1_15,VPWR,li1,17.7100,13.6000,1.799999
FILLER_1_12,VPWR,li1,16.3300,13.6000,1.799999
FILLER_1_9,VPWR,li1,14.9500,13.6000,1.799999
FILLER_1_6,VPWR,li1,13.5700,13.6000,1.799999
FILLER_1_3,VPWR,li1,12.1900,13.6000,1.799999
FILLER_0_60,VPWR,li1,37.9500,13.6000,1.799999
FILLER_0_57,VPWR,li1,37.0300,13.6000,1.799999
